,origin_n,area_code,dest_index,dest_name,route,distance
0,7829406274,7018856,1621241515,Tuki Tuki Medical Center,"[7829406274, 3117861410, 3117861416, 1934825451, 1913645437, 1913645383, 1913936327, 1913936193, 1913936274, 1913936268, 1913936158, 1913936260, 1913936252, 1913936348, 1913645459, 1913645397, 1913936166, 1913936184, 1977657758, 1977657753, 1934815661, 1934815860, 1977706620, 1977706475, 6086658055, 1916741337, 1977719189, 302770388, 302770327, 1916751189, 1916751195, 1913821953, 1913814316, 297894127, 297894129, 1996578169, 1996578210, 2562353298, 1922665927, 1922665890, 1849076476, 1922665784, 1849076391, 1749281574, 3707357391, 1916603592, 297893129, 1749281412, 1471861949, 1731667661, 1471861943, 1044324206, 3707300746, 610753640, 1044318505, 1044318523, 1044318521, 610753654, 9182346843, 1520822644, 1044328144, 1044292153, 1520822635, 297895486, 610753617, 297895451, 1044297496, 1044297522, 1044297538, 1044304199, 1044304221, 1044304179, 1044304194, 1044313879, 1044313868, 1044313854, 610753644, 1519304043, 1919409511, 58634595, 3827971367, 615164386, 1471876633, 1471877196, 1520837306, 1471876170, 1520837300, 1471877479, 2104040953, 2104040765, 2002189053, 3884490736, 58634627, 1745320927, 1471876476, 3534530523, 615164429, 1520847254, 2358336044, 2358336036, 1745320269, 58634632, 615164480, 1745372308, 1745372234, 1745333055, 3084422788, 3531895037, 390752694, 11265608017, 1520854053, 1520854052, 1520854051, 6366109377, 1520859709, 2022352775, 2022179100, 2011945851, 4376588028, 2011945877, 1621339768, 331582862, 1621241511, 1621241515]",100359.37299999998
0,1977707741,7018886,1621241515,Tuki Tuki Medical Center,"[1977707741, 1913936333, 3772742028, 1913936253, 1913936243, 1934414907, 1913645480, 1913645361, 1913645343, 1913936260, 1913936252, 1913936348, 1913645459, 1913645397, 1913936166, 1913936184, 1977657758, 1977657753, 1934815661, 1934815860, 1977706620, 1977706475, 6086658055, 1916741337, 1977719189, 302770388, 302770327, 1916751189, 1916751195, 1913821953, 1913814316, 297894127, 297894129, 1996578169, 1996578210, 2562353298, 1922665927, 1922665890, 1849076476, 1922665784, 1849076391, 1749281574, 3707357391, 1916603592, 297893129, 1749281412, 1471861949, 1731667661, 1471861943, 1044324206, 3707300746, 610753640, 1044318505, 1044318523, 1044318521, 610753654, 9182346843, 1520822644, 1044328144, 1044292153, 1520822635, 297895486, 610753617, 297895451, 1044297496, 1044297522, 1044297538, 1044304199, 1044304221, 1044304179, 1044304194, 1044313879, 1044313868, 1044313854, 610753644, 1519304043, 1919409511, 58634595, 3827971367, 615164386, 1471876633, 1471877196, 1520837306, 1471876170, 1520837300, 1471877479, 2104040953, 2104040765, 2002189053, 3884490736, 58634627, 1745320927, 1471876476, 3534530523, 615164429, 1520847254, 2358336044, 2358336036, 1745320269, 58634632, 615164480, 1745372308, 1745372234, 1745333055, 3084422788, 3531895037, 390752694, 11265608017, 1520854053, 1520854052, 1520854051, 6366109377, 1520859709, 2022352775, 2022179100, 2011945851, 4376588028, 2011945877, 1621339768, 331582862, 1621241511, 1621241515]",95372.58099999996
0,1913936327,7018885,1621241515,Tuki Tuki Medical Center,"[1913936327, 1913936193, 1913936274, 1913936268, 1913936158, 1913936260, 1913936252, 1913936348, 1913645459, 1913645397, 1913936166, 1913936184, 1977657758, 1977657753, 1934815661, 1934815860, 1977706620, 1977706475, 6086658055, 1916741337, 1977719189, 302770388, 302770327, 1916751189, 1916751195, 1913821953, 1913814316, 297894127, 297894129, 1996578169, 1996578210, 2562353298, 1922665927, 1922665890, 1849076476, 1922665784, 1849076391, 1749281574, 3707357391, 1916603592, 297893129, 1749281412, 1471861949, 1731667661, 1471861943, 1044324206, 3707300746, 610753640, 1044318505, 1044318523, 1044318521, 610753654, 9182346843, 1520822644, 1044328144, 1044292153, 1520822635, 297895486, 610753617, 297895451, 1044297496, 1044297522, 1044297538, 1044304199, 1044304221, 1044304179, 1044304194, 1044313879, 1044313868, 1044313854, 610753644, 1519304043, 1919409511, 58634595, 3827971367, 615164386, 1471876633, 1471877196, 1520837306, 1471876170, 1520837300, 1471877479, 2104040953, 2104040765, 2002189053, 3884490736, 58634627, 1745320927, 1471876476, 3534530523, 615164429, 1520847254, 2358336044, 2358336036, 1745320269, 58634632, 615164480, 1745372308, 1745372234, 1745333055, 3084422788, 3531895037, 390752694, 11265608017, 1520854053, 1520854052, 1520854051, 6366109377, 1520859709, 2022352775, 2022179100, 2011945851, 4376588028, 2011945877, 1621339768, 331582862, 1621241511, 1621241515]",94756.38799999998
0,2924532975,7018876,1621241515,Tuki Tuki Medical Center,"[2924532975, 2696663368, 2696663360, 1977554851, 1977554845, 1977554765, 2268560137, 2924529983, 2172661044, 2172661081, 1922665919, 1849076419, 1849076446, 1849076391, 1749281574, 3707357391, 1916603592, 297893129, 1749281412, 1471861949, 1731667661, 1471861943, 1044324206, 3707300746, 610753640, 1044318505, 1044318523, 1044318521, 610753654, 9182346843, 1520822644, 1044328144, 1044292153, 1520822635, 297895486, 610753617, 297895451, 1044297496, 1044297522, 1044297538, 1044304199, 1044304221, 1044304179, 1044304194, 1044313879, 1044313868, 1044313854, 610753644, 1519304043, 1919409511, 58634595, 3827971367, 615164386, 1471876633, 1471877196, 1520837306, 1471876170, 1520837300, 1471877479, 2104040953, 2104040765, 2002189053, 3884490736, 58634627, 1745320927, 1471876476, 3534530523, 615164429, 1520847254, 2358336044, 2358336036, 1745320269, 58634632, 615164480, 1745372308, 1745372234, 1745333055, 3084422788, 3531895037, 390752694, 11265608017, 1520854053, 1520854052, 1520854051, 6366109377, 1520859709, 2022352775, 2022179100, 2011945851, 4376588028, 2011945877, 1621339768, 331582862, 1621241511, 1621241515]",96976.23599999998
0,1913645471,7018898,1621241515,Tuki Tuki Medical Center,"[1913645471, 1913936185, 1913936293, 1913936226, 1913936365, 1913645476, 1913645345, 1913645480, 1913645361, 1913645343, 1913936260, 1913936252, 1913936348, 1913645459, 1913645397, 1913936166, 1913936184, 1977657758, 1977657753, 1934815661, 1934815860, 1977706620, 1977706475, 6086658055, 1916741337, 1977719189, 302770388, 302770327, 1916751189, 1916751195, 1913821953, 1913814316, 297894127, 297894129, 1996578169, 1996578210, 2562353298, 1922665927, 1922665890, 1849076476, 1922665784, 1849076391, 1749281574, 3707357391, 1916603592, 297893129, 1749281412, 1471861949, 1731667661, 1471861943, 1044324206, 3707300746, 610753640, 1044318505, 1044318523, 1044318521, 610753654, 9182346843, 1520822644, 1044328144, 1044292153, 1520822635, 297895486, 610753617, 297895451, 1044297496, 1044297522, 1044297538, 1044304199, 1044304221, 1044304179, 1044304194, 1044313879, 1044313868, 1044313854, 610753644, 1519304043, 1919409511, 58634595, 3827971367, 615164386, 1471876633, 1471877196, 1520837306, 1471876170, 1520837300, 1471877479, 2104040953, 2104040765, 2002189053, 3884490736, 58634627, 1745320927, 1471876476, 3534530523, 615164429, 1520847254, 2358336044, 2358336036, 1745320269, 58634632, 615164480, 1745372308, 1745372234, 1745333055, 3084422788, 3531895037, 390752694, 11265608017, 1520854053, 1520854052, 1520854051, 6366109377, 1520859709, 2022352775, 2022179100, 2011945851, 4376588028, 2011945877, 1621339768, 331582862, 1621241511, 1621241515]",95207.62599999996
0,1913936267,7018897,1621241515,Tuki Tuki Medical Center,"[1913936267, 1913936236, 1913936329, 1913936263, 1913936334, 1913936350, 1913936232, 1913936314, 1913936278, 1913936326, 1913936166, 1913936184, 1977657758, 1977657753, 1934815661, 1934815860, 1977706620, 1977706475, 6086658055, 1916741337, 1977719189, 302770388, 302770327, 1916751189, 1916751195, 1913821953, 1913814316, 297894127, 297894129, 1996578169, 1996578210, 2562353298, 1922665927, 1922665890, 1849076476, 1922665784, 1849076391, 1749281574, 3707357391, 1916603592, 297893129, 1749281412, 1471861949, 1731667661, 1471861943, 1044324206, 3707300746, 610753640, 1044318505, 1044318523, 1044318521, 610753654, 9182346843, 1520822644, 1044328144, 1044292153, 1520822635, 297895486, 610753617, 297895451, 1044297496, 1044297522, 1044297538, 1044304199, 1044304221, 1044304179, 1044304194, 1044313879, 1044313868, 1044313854, 610753644, 1519304043, 1919409511, 58634595, 3827971367, 615164386, 1471876633, 1471877196, 1520837306, 1471876170, 1520837300, 1471877479, 2104040953, 2104040765, 2002189053, 3884490736, 58634627, 1745320927, 1471876476, 3534530523, 615164429, 1520847254, 2358336044, 2358336036, 1745320269, 58634632, 615164480, 1745372308, 1745372234, 1745333055, 3084422788, 3531895037, 390752694, 11265608017, 1520854053, 1520854052, 1520854051, 6366109377, 1520859709, 2022352775, 2022179100, 2011945851, 4376588028, 2011945877, 1621339768, 331582862, 1621241511, 1621241515]",94863.84199999998
0,1913936242,7018900,1621241515,Tuki Tuki Medical Center,"[1913936242, 1913936165, 1913936290, 1913936294, 1913936263, 1913936334, 1913936350, 1913936232, 1913936314, 1913936278, 1913936326, 1913936166, 1913936184, 1977657758, 1977657753, 1934815661, 1934815860, 1977706620, 1977706475, 6086658055, 1916741337, 1977719189, 302770388, 302770327, 1916751189, 1916751195, 1913821953, 1913814316, 297894127, 297894129, 1996578169, 1996578210, 2562353298, 1922665927, 1922665890, 1849076476, 1922665784, 1849076391, 1749281574, 3707357391, 1916603592, 297893129, 1749281412, 1471861949, 1731667661, 1471861943, 1044324206, 3707300746, 610753640, 1044318505, 1044318523, 1044318521, 610753654, 9182346843, 1520822644, 1044328144, 1044292153, 1520822635, 297895486, 610753617, 297895451, 1044297496, 1044297522, 1044297538, 1044304199, 1044304221, 1044304179, 1044304194, 1044313879, 1044313868, 1044313854, 610753644, 1519304043, 1919409511, 58634595, 3827971367, 615164386, 1471876633, 1471877196, 1520837306, 1471876170, 1520837300, 1471877479, 2104040953, 2104040765, 2002189053, 3884490736, 58634627, 1745320927, 1471876476, 3534530523, 615164429, 1520847254, 2358336044, 2358336036, 1745320269, 58634632, 615164480, 1745372308, 1745372234, 1745333055, 3084422788, 3531895037, 390752694, 11265608017, 1520854053, 1520854052, 1520854051, 6366109377, 1520859709, 2022352775, 2022179100, 2011945851, 4376588028, 2011945877, 1621339768, 331582862, 1621241511, 1621241515]",94817.25199999998
0,1913936200,7018896,1621241515,Tuki Tuki Medical Center,"[1913936200, 1913936334, 1913936350, 1913936232, 1913936314, 1913936278, 1913936326, 1913936166, 1913936184, 1977657758, 1977657753, 1934815661, 1934815860, 1977706620, 1977706475, 6086658055, 1916741337, 1977719189, 302770388, 302770327, 1916751189, 1916751195, 1913821953, 1913814316, 297894127, 297894129, 1996578169, 1996578210, 2562353298, 1922665927, 1922665890, 1849076476, 1922665784, 1849076391, 1749281574, 3707357391, 1916603592, 297893129, 1749281412, 1471861949, 1731667661, 1471861943, 1044324206, 3707300746, 610753640, 1044318505, 1044318523, 1044318521, 610753654, 9182346843, 1520822644, 1044328144, 1044292153, 1520822635, 297895486, 610753617, 297895451, 1044297496, 1044297522, 1044297538, 1044304199, 1044304221, 1044304179, 1044304194, 1044313879, 1044313868, 1044313854, 610753644, 1519304043, 1919409511, 58634595, 3827971367, 615164386, 1471876633, 1471877196, 1520837306, 1471876170, 1520837300, 1471877479, 2104040953, 2104040765, 2002189053, 3884490736, 58634627, 1745320927, 1471876476, 3534530523, 615164429, 1520847254, 2358336044, 2358336036, 1745320269, 58634632, 615164480, 1745372308, 1745372234, 1745333055, 3084422788, 3531895037, 390752694, 11265608017, 1520854053, 1520854052, 1520854051, 6366109377, 1520859709, 2022352775, 2022179100, 2011945851, 4376588028, 2011945877, 1621339768, 331582862, 1621241511, 1621241515]",94322.05199999997
0,1913936263,7018895,1621241515,Tuki Tuki Medical Center,"[1913936263, 1913936334, 1913936350, 1913936232, 1913936314, 1913936278, 1913936326, 1913936166, 1913936184, 1977657758, 1977657753, 1934815661, 1934815860, 1977706620, 1977706475, 6086658055, 1916741337, 1977719189, 302770388, 302770327, 1916751189, 1916751195, 1913821953, 1913814316, 297894127, 297894129, 1996578169, 1996578210, 2562353298, 1922665927, 1922665890, 1849076476, 1922665784, 1849076391, 1749281574, 3707357391, 1916603592, 297893129, 1749281412, 1471861949, 1731667661, 1471861943, 1044324206, 3707300746, 610753640, 1044318505, 1044318523, 1044318521, 610753654, 9182346843, 1520822644, 1044328144, 1044292153, 1520822635, 297895486, 610753617, 297895451, 1044297496, 1044297522, 1044297538, 1044304199, 1044304221, 1044304179, 1044304194, 1044313879, 1044313868, 1044313854, 610753644, 1519304043, 1919409511, 58634595, 3827971367, 615164386, 1471876633, 1471877196, 1520837306, 1471876170, 1520837300, 1471877479, 2104040953, 2104040765, 2002189053, 3884490736, 58634627, 1745320927, 1471876476, 3534530523, 615164429, 1520847254, 2358336044, 2358336036, 1745320269, 58634632, 615164480, 1745372308, 1745372234, 1745333055, 3084422788, 3531895037, 390752694, 11265608017, 1520854053, 1520854052, 1520854051, 6366109377, 1520859709, 2022352775, 2022179100, 2011945851, 4376588028, 2011945877, 1621339768, 331582862, 1621241511, 1621241515]",94230.15299999996
0,1913936361,7018894,1621241515,Tuki Tuki Medical Center,"[1913936361, 1913936186, 1913936190, 1913936266, 1913936232, 1913936314, 1913936278, 1913936326, 1913936166, 1913936184, 1977657758, 1977657753, 1934815661, 1934815860, 1977706620, 1977706475, 6086658055, 1916741337, 1977719189, 302770388, 302770327, 1916751189, 1916751195, 1913821953, 1913814316, 297894127, 297894129, 1996578169, 1996578210, 2562353298, 1922665927, 1922665890, 1849076476, 1922665784, 1849076391, 1749281574, 3707357391, 1916603592, 297893129, 1749281412, 1471861949, 1731667661, 1471861943, 1044324206, 3707300746, 610753640, 1044318505, 1044318523, 1044318521, 610753654, 9182346843, 1520822644, 1044328144, 1044292153, 1520822635, 297895486, 610753617, 297895451, 1044297496, 1044297522, 1044297538, 1044304199, 1044304221, 1044304179, 1044304194, 1044313879, 1044313868, 1044313854, 610753644, 1519304043, 1919409511, 58634595, 3827971367, 615164386, 1471876633, 1471877196, 1520837306, 1471876170, 1520837300, 1471877479, 2104040953, 2104040765, 2002189053, 3884490736, 58634627, 1745320927, 1471876476, 3534530523, 615164429, 1520847254, 2358336044, 2358336036, 1745320269, 58634632, 615164480, 1745372308, 1745372234, 1745333055, 3084422788, 3531895037, 390752694, 11265608017, 1520854053, 1520854052, 1520854051, 6366109377, 1520859709, 2022352775, 2022179100, 2011945851, 4376588028, 2011945877, 1621339768, 331582862, 1621241511, 1621241515]",94461.15899999997
