,origin_n,area_code,dest_index,dest_name,route,distance
0,1744163175,7018877,1621241515,Tuki Tuki Medical Center,"[1744163175, 3225721477, 4032262882, 357174213, 1733659763, 1212932730, 1212933208, 3565298708, 1733712354, 1733712331, 1733712292, 3565303397, 357191912, 1733711755, 1733711691, 357192017, 1745428370, 1212989948, 1728604912, 357192162, 3980813362, 1212933083, 8783999719, 10125642301, 1621339828, 1212924415, 1212924505, 1621241653, 1621241635, 1621241619, 1621241613, 1621241598, 1621241565, 608652864, 331582866, 1621241515]",132408.18799999997
0,1744163175,7018860,1621241515,Tuki Tuki Medical Center,"[1744163175, 3225721477, 4032262882, 357174213, 1733659763, 1212932730, 1212933208, 3565298708, 1733712354, 1733712331, 1733712292, 3565303397, 357191912, 1733711755, 1733711691, 357192017, 1745428370, 1212989948, 1728604912, 357192162, 3980813362, 1212933083, 8783999719, 10125642301, 1621339828, 1212924415, 1212924505, 1621241653, 1621241635, 1621241619, 1621241613, 1621241598, 1621241565, 608652864, 331582866, 1621241515]",132408.18799999997
0,1744178184,7018883,1621241515,Tuki Tuki Medical Center,"[1744178184, 4032267776, 1744178056, 1744177611, 4032262882, 357174213, 1733659763, 1212932730, 1212933208, 3565298708, 1733712354, 1733712331, 1733712292, 3565303397, 357191912, 1733711755, 1733711691, 357192017, 1745428370, 1212989948, 1728604912, 357192162, 3980813362, 1212933083, 8783999719, 10125642301, 1621339828, 1212924415, 1212924505, 1621241653, 1621241635, 1621241619, 1621241613, 1621241598, 1621241565, 608652864, 331582866, 1621241515]",114865.82199999999
0,1744163175,7018808,1621241515,Tuki Tuki Medical Center,"[1744163175, 3225721477, 4032262882, 357174213, 1733659763, 1212932730, 1212933208, 3565298708, 1733712354, 1733712331, 1733712292, 3565303397, 357191912, 1733711755, 1733711691, 357192017, 1745428370, 1212989948, 1728604912, 357192162, 3980813362, 1212933083, 8783999719, 10125642301, 1621339828, 1212924415, 1212924505, 1621241653, 1621241635, 1621241619, 1621241613, 1621241598, 1621241565, 608652864, 331582866, 1621241515]",132408.18799999997
0,2427252562,7016746,1621241515,Tuki Tuki Medical Center,"[2427252562, 1744177611, 4032262882, 357174213, 1733659763, 1212932730, 1212933208, 3565298708, 1733712354, 1733712331, 1733712292, 3565303397, 357191912, 1733711755, 1733711691, 357192017, 1745428370, 1212989948, 1728604912, 357192162, 3980813362, 1212933083, 8783999719, 10125642301, 1621339828, 1212924415, 1212924505, 1621241653, 1621241635, 1621241619, 1621241613, 1621241598, 1621241565, 608652864, 331582866, 1621241515]",112164.446
0,2427255669,7022501,1621241515,Tuki Tuki Medical Center,"[2427255669, 1733625528, 1733625256, 1733626575, 1733626567, 1733626566, 2135627780, 1212933233, 1212987603, 1212987584, 1212987566, 1212932730, 1212933208, 3565298708, 1733712354, 1733712331, 1733712292, 3565303397, 357191912, 1733711755, 1733711691, 357192017, 1745428370, 1212989948, 1728604912, 357192162, 3980813362, 1212933083, 8783999719, 10125642301, 1621339828, 1212924415, 1212924505, 1621241653, 1621241635, 1621241619, 1621241613, 1621241598, 1621241565, 608652864, 331582866, 1621241515]",120587.46600000001
0,1733620211,7016766,1621241515,Tuki Tuki Medical Center,"[1733620211, 357174131, 1733626567, 1733626566, 2135627780, 1212933233, 1212987603, 1212987584, 1212987566, 1212932730, 1212933208, 3565298708, 1733712354, 1733712331, 1733712292, 3565303397, 357191912, 1733711755, 1733711691, 357192017, 1745428370, 1212989948, 1728604912, 357192162, 3980813362, 1212933083, 8783999719, 10125642301, 1621339828, 1212924415, 1212924505, 1621241653, 1621241635, 1621241619, 1621241613, 1621241598, 1621241565, 608652864, 331582866, 1621241515]",103558.96399999999
0,1733654479,7016780,1621241515,Tuki Tuki Medical Center,"[1733654479, 1212933031, 1212948896, 7540853624, 1212932545, 1212987566, 1212932730, 1212933208, 3565298708, 1733712354, 1733712331, 1733712292, 3565303397, 357191912, 1733711755, 1733711691, 357192017, 1745428370, 1212989948, 1728604912, 357192162, 3980813362, 1212933083, 8783999719, 10125642301, 1621339828, 1212924415, 1212924505, 1621241653, 1621241635, 1621241619, 1621241613, 1621241598, 1621241565, 608652864, 331582866, 1621241515]",95200.51799999998
0,1212933440,7016777,1621241515,Tuki Tuki Medical Center,"[1212933440, 1212932545, 1212987566, 1212932730, 1212933208, 3565298708, 1733712354, 1733712331, 1733712292, 3565303397, 357191912, 1733711755, 1733711691, 357192017, 1745428370, 1212989948, 1728604912, 357192162, 3980813362, 1212933083, 8783999719, 10125642301, 1621339828, 1212924415, 1212924505, 1621241653, 1621241635, 1621241619, 1621241613, 1621241598, 1621241565, 608652864, 331582866, 1621241515]",85163.04199999999
0,1733659734,7016779,1621241515,Tuki Tuki Medical Center,"[1733659734, 1212932234, 3565298708, 1733712354, 1733712331, 1733712292, 3565303397, 357191912, 1733711755, 1733711691, 357192017, 1745428370, 1212989948, 1728604912, 357192162, 3980813362, 1212933083, 8783999719, 10125642301, 1621339828, 1212924415, 1212924505, 1621241653, 1621241635, 1621241619, 1621241613, 1621241598, 1621241565, 608652864, 331582866, 1621241515]",78232.83799999999
0,7825816188,7016727,1621241515,Tuki Tuki Medical Center,"[7825816188, 7825816036, 1733711278, 1212932383, 1733729258, 1212932780, 1212932263, 1733728475, 1212933082, 7536446275, 1212987599, 1212987595, 7622323280, 1621241650, 1621241640, 1621241609, 1621241596, 3820019544, 3820019538, 1621241580, 1618539140, 1618539094, 2149643097, 608652864, 331582866, 1621241515]",72420.51500000003
0,1733711686,7016778,1621241515,Tuki Tuki Medical Center,"[1733711686, 1733711352, 1733711755, 1733711691, 357192017, 1745428370, 1212989948, 1728604912, 357192162, 3980813362, 1212933083, 8783999719, 10125642301, 1621339828, 1212924415, 1212924505, 1621241653, 1621241635, 1621241619, 1621241613, 1621241598, 1621241565, 608652864, 331582866, 1621241515]",60760.588000000025
