Official,Planned,Sub Region,Location,Location Description,Status,Location Description,Description,Event Comments,Event Type,Closure Start Date,Closure End Date,"Closure Duration (d,h,m)",Closure Duration (hh.mm),System Start Date,System End Date,"Event Duration (d,h,m)",Event Duration (hh.mm),Event ID,Impact Summary
Official,Planned,Bay of Plenty East,005-0077/14.07,Rotorua to Taupo,Resolved,Rotorua to Taupo,Pavement Repairs,"Due to road works in this area, there will be a road closure and detour in place between 7am and 6pm daily. Please take extra care and expect slight delays.",Road Work,10-Jan-2023 07:00:00,10-Jan-2023 17:00:00,"10 h, 0 m",10.00,10-Jan-2023 07:00:00,10-Mar-2023 17:00:00,"59 d, 10 h, 0 m",1426.00,410076,"RCo, C, "
Official,Planned,Bay of Plenty East,030-0147/00.98-I,Rotorua to (SH33) Tikitere,Resolved,Rotorua to (SH33) Tikitere,Road Construction,Due to road works in this area all east bound traffic is to detour left on to Marino Road then on to Vaughan Road on to Owhata Road and back on to SH30,Road Work,18-Jan-2023 07:00:00,01-Mar-2023 17:00:00,"42 d, 10 h, 0 m",1018.00,18-Jan-2023 07:00:00,01-Mar-2023 17:00:00,"42 d, 10 h, 0 m",1018.00,412344, 
Official,Unplanned,Bay of Plenty East,036-0028/17.28,Ngongotaha,Resolved,Ngongotaha,Fire,"Due to a Fire. SH36 (Ngongotaha Rd) is closed between Western Rd and Hood Street.
A detour is in place. Please follow the detour and take extra care. ",Road Hazard,19-Jan-2023 04:46:00,19-Jan-2023 05:27:00,41 m,0.41,19-Jan-2023 03:12:00,19-Jan-2023 05:27:22,"2 h, 15 m",2.15,412394,"C, RC, "
Official,Unplanned,Bay of Plenty East,002-0429/12.21-B,Gisborne to Opotiki,Resolved,Gisborne to Opotiki,Slip,The road is now clear.,Area Warning,28-Jan-2023 19:01:34, , , ,28-Jan-2023 19:01:34,29-Jan-2023 00:31:21,"5 h, 30 m",5.30,413500,"RC, C, "
Official,Unplanned,Bay of Plenty East,033-0000/13.21,Tikitere to Paengaroa,Resolved,Tikitere to Paengaroa,Slip,"Due to a slip blocking both lanes, SH33 is closed between Okere Falls to Paengaroa.",Road Hazard,29-Jan-2023 01:44:00,29-Jan-2023 04:04:00,"2 h, 20 m",2.20,29-Jan-2023 01:41:00,29-Jan-2023 04:04:50,"2 h, 23 m",2.23,413534, 
Official,Unplanned,Bay of Plenty East,030-0170/01.21,Tikitere to Rotoma,Resolved,Tikitere to Rotoma,Slip,"Due to a slip, SH30 is closed between SH33 and Lake Okataina Rd. Please avoid this area if possible and take extra care.",Road Hazard,29-Jan-2023 06:08:00,29-Jan-2023 16:11:00,"10 h, 3 m",10.03,29-Jan-2023 04:11:00,29-Jan-2023 16:11:30,"12 h, 0 m",12.00,413543,"C, RC, "
Official,Unplanned,Bay of Plenty East,036-0028/03.43,Tauranga to Ngongotaha,Resolved,Tauranga to Ngongotaha,Crash,"Due to a serious crash, the road is blocked north of the intersection with Dudley Rd. Delay your journey or allow extra time for a detour.",Road Hazard,04-Feb-2023 13:41:00,04-Feb-2023 17:09:00,"3 h, 28 m",3.28,04-Feb-2023 12:56:00,04-Feb-2023 17:09:15,"4 h, 13 m",4.13,414306,"C, D, RC, "
Official,Unplanned,Bay of Plenty East,002-0294/04.62,Waiotahe Beach,Resolved,Waiotahe Beach,Slip,"Due to a large slip at Waiotahe Beach, SH2 is closed between Paerata Ridge Rd and Waiotahe Valley Back Rd, west of Opotiki. Please follow detour and expect delays. (Note Road will not open overnight.)",Area Warning,09-Feb-2023 10:00:00,11-Feb-2023 14:14:00,"2 d, 4 h, 14 m",52.14,09-Feb-2023 10:00:00,11-Feb-2023 14:14:38,"2 d, 4 h, 14 m",52.14,414796, 
Official,Unplanned,Bay of Plenty East,030-0194/08.57,Rotoma to (SH34) Te Teko,Resolved,Rotoma to (SH34) Te Teko,Crash,"An earlier crash has now been cleared, and the road is open.",Road Hazard,10-Feb-2023 15:25:00,10-Feb-2023 18:51:00,"3 h, 26 m",3.26,10-Feb-2023 15:18:00,10-Feb-2023 18:52:26,"3 h, 34 m",3.34,414978,"C, RC, C, "
Official,Unplanned,Bay of Plenty East,033-0000/07.93,Tikitere to Paengaroa,Resolved,Tikitere to Paengaroa,Slip,"Due to an earlier slip in the Okere Falls area, Sh33 is open under stop/go traffic management.",Road Hazard,14-Feb-2023 07:27:00,14-Feb-2023 10:30:00,"3 h, 3 m",3.03,13-Feb-2023 19:09:00,14-Feb-2023 12:55:51,"17 h, 46 m",17.46,415380,"C, RC, C, "
